iter	RMSE
0	0.4799333051
1	0.4776994799
2	0.4756201077
3	0.473544787
4	0.4715949931
5	0.4696994933
6	0.4678161319
7	0.4658659254
8	0.464066374
9	0.4622254429
10	0.4604116936
11	0.4584517952
12	0.4566155144
13	0.4547997111
14	0.4530334495
15	0.4513023305
16	0.4495848935
17	0.447882699
18	0.4463128783
19	0.4447306958
20	0.443190735
21	0.4416277104
22	0.4400561775
23	0.4384626314
24	0.4369169536
25	0.4353349749
26	0.4338607875
27	0.4324028461
28	0.4310541873
29	0.4296245008
30	0.4281829919
31	0.4268688246
32	0.4255857393
33	0.4242068778
34	0.4228296742
35	0.4214404378
36	0.4201130843
37	0.4189080287
38	0.4176598137
39	0.4164339848
40	0.4151831706
41	0.4139442917
42	0.4127662285
43	0.4115754725
44	0.4103835061
45	0.4092007424
46	0.4080626864
47	0.4068986896
48	0.4057973151
49	0.4047027433
50	0.4036634285
51	0.4026379278
52	0.4016443353
53	0.400652185
54	0.3996622319
55	0.3986834043
56	0.3976805439
57	0.3966932757
58	0.3957713301
59	0.3948841221
60	0.3939562185
61	0.3930983554
62	0.392165318
63	0.3913367714
64	0.3903426535
65	0.3895020288
66	0.3886712795
67	0.3878142749
68	0.3870012407
69	0.3861901457
70	0.3854221509
71	0.3846325013
72	0.3838628403
73	0.3830929409
74	0.3822955186
75	0.3814757337
76	0.3807245509
77	0.3799367023
78	0.3792128677
79	0.3784709784
80	0.3777029156
81	0.3770378317
82	0.3763641224
83	0.3756433816
84	0.3749243309
85	0.374246111
86	0.3736025791
87	0.3729357689
88	0.3722815916
89	0.371669125
90	0.3709926577
91	0.3704140161
92	0.3698082449
93	0.3691961687
94	0.3686839428
95	0.3680839251
96	0.3674983238
97	0.3669436704
98	0.3663627874
99	0.3657881782
100	0.3652258592
101	0.3647220252
102	0.3642015303
103	0.3636349593
104	0.3630646305
105	0.3625823026
106	0.362058534
107	0.3615393794
108	0.361046967
109	0.3605459238
110	0.3600494203
111	0.3595988478
112	0.3590773255
113	0.3585641781
114	0.358154241
115	0.3576763545
116	0.3572483114
117	0.3568057419
118	0.3563241404
119	0.3558200176
120	0.3553246912
121	0.3549515321
122	0.3545391267
123	0.3540307357
124	0.3535928542
125	0.3531392701
126	0.3527428255
127	0.3523378306
128	0.3519538352
129	0.3516036017
130	0.351228148
131	0.3507678744
132	0.3503707763
133	0.3500038843
134	0.3496426089
135	0.3492750614
136	0.3488992807
137	0.3485106986
138	0.3481456327
139	0.3478032083
140	0.3474760864
141	0.3471067529
142	0.3468019741
143	0.3464065999
144	0.3460798805
145	0.3457247825
146	0.3453788836
147	0.3449858316
148	0.3446586536
149	0.3443754393
150	0.3440613164
151	0.3437582343
152	0.3433886168
153	0.3430607135
154	0.3427106568
155	0.3424428805
156	0.3421884135
157	0.3418894381
158	0.3415474122
159	0.3411818368
160	0.3408524739
161	0.3405319743
162	0.3402798494
163	0.3400044357
164	0.3396839934
165	0.3394137195
166	0.3390932909
167	0.3388483544
168	0.3385672404
169	0.3383181812
170	0.3380389815
171	0.3377795048
172	0.3374836839
173	0.3372789234
174	0.3369982017
175	0.3367394304
176	0.3364875633
177	0.3362092512
178	0.3360009676
179	0.3357364709
180	0.3354908572
181	0.33525705
182	0.3350232616
183	0.3348015542
184	0.3345721494
185	0.3343141855
186	0.3340990728
187	0.3338876925
188	0.3336123099
189	0.3333909275
190	0.3331248332
191	0.3329366025
192	0.3326963767
193	0.3324903808
194	0.3322221543
195	0.3319898315
196	0.3317547591
197	0.3315240139
198	0.3312836237
199	0.3310872759
200	0.3309011261
201	0.330632264
202	0.3304730891
203	0.330265698
204	0.3301028831
205	0.3298675013
206	0.3296599489
207	0.3294768947
208	0.3293108359
209	0.3291061695
210	0.3288650665
211	0.3286711347
212	0.3284944821
213	0.3283105467
214	0.3281395261
215	0.3279054057
216	0.3276994824
217	0.3274810964
218	0.3272977223
219	0.3271157198
220	0.3268944988
221	0.3267109743
222	0.326502106
223	0.3262991659
224	0.3261348619
225	0.3259994933
226	0.3258337424
227	0.3256883162
228	0.3255342364
229	0.3253411847
230	0.3251942801
231	0.3249858348
232	0.3248454445
233	0.3246753033
234	0.3245458774
235	0.3243919998
236	0.3242552253
237	0.3241001853
238	0.3239381637
239	0.3237071852
240	0.323497188
241	0.3233229436
242	0.3231604763
243	0.3229904578
244	0.3228488799
245	0.3227044351
246	0.3225272369
247	0.3223213571
248	0.3221640805
249	0.3219506942
250	0.3217774593
251	0.3216200255
252	0.3214148017
253	0.3212584609
254	0.3211177446
255	0.3209984015
256	0.3208319507
257	0.3206706188
258	0.3205221068
259	0.3203192463
260	0.3202066721
261	0.3200727424
262	0.3199283475
263	0.3197794025
264	0.31964334
265	0.3194745328
266	0.3193472421
267	0.319237075
268	0.3191299441
269	0.3189318743
270	0.3187959742
271	0.3186334649
272	0.3184901926
273	0.3183384602
274	0.3181501264
275	0.3180462894
276	0.3179118288
277	0.3177432236
278	0.3175970284
279	0.3174401468
280	0.3172844654
281	0.3171103194
282	0.3169241889
283	0.3168061866
284	0.3166905767
285	0.3165398396
286	0.3163758613
287	0.3162575762
288	0.3161473829
289	0.3160631727
290	0.3159668478
291	0.3158210633
292	0.3156959037
293	0.3155864001
294	0.3154614625
295	0.3153888095
296	0.3152050182
297	0.3150873198
298	0.3149787464
299	0.3148199322
300	0.3146919584
301	0.3145805007
302	0.3144742409
303	0.3143240887
304	0.3142155225
305	0.3140926514
306	0.3139461008
307	0.3137961603
308	0.3136943373
309	0.3136001582
310	0.3134821089
311	0.3133638695
312	0.3132631494
313	0.3131342773
314	0.313028343
315	0.3129137825
316	0.312813108
317	0.3126575957
318	0.3125381977
319	0.3123728261
320	0.3123001022
321	0.3122294269
322	0.3121339523
323	0.3120333768
324	0.3119428475
325	0.3118467801
326	0.31170761
327	0.3115778952
328	0.3114716958
329	0.3113316298
330	0.311232664
331	0.3111170032
332	0.3110001717
333	0.3109039213
334	0.3107554994
335	0.3106442257
336	0.3105043212
337	0.3104300186
338	0.3103226052
339	0.3102360503
340	0.3101298813
341	0.3099947964
342	0.309890859
343	0.3097784391
344	0.3096733913
345	0.3095815563
346	0.3094805622
347	0.3093767023
348	0.3092769241
349	0.3092119966
350	0.3091321737
351	0.3089840968
352	0.308891222
353	0.3087678834
354	0.308674962
355	0.3085897594
356	0.3084948428
357	0.3083149199
358	0.3081959416
359	0.3081154367
360	0.3080357905
361	0.3079706873
362	0.3078873675
363	0.3077893402
364	0.3076910845
365	0.3076115362
366	0.3075047988
367	0.3074074633
368	0.3072967264
369	0.3071949224
370	0.3071113159
371	0.3070021058
372	0.3068827875
373	0.306805753
374	0.3067340984
375	0.3066019316
376	0.3065075169
377	0.3064096914
378	0.3063498756
379	0.3062737513
380	0.3061682566
381	0.3060805816
382	0.3059996953
383	0.3059418647
384	0.3058722081
385	0.3057791106
386	0.3056469204
387	0.3055443413
388	0.3054290149
389	0.3053550549
390	0.3052868105
391	0.305208979
392	0.3051562445
393	0.3050781467
394	0.3050030367
395	0.3049319425
396	0.3048805446
397	0.3048016568
398	0.3047134234
399	0.3046450163
400	0.3045389794
401	0.3044678355
402	0.3043834094
403	0.3042798314
404	0.3042024459
405	0.3040998915
406	0.3040246281
407	0.3039645234
408	0.303899202
409	0.3038388332
410	0.3037426316
411	0.3036617119
412	0.3035865831
413	0.3035053905
414	0.3034283337
415	0.3033322587
416	0.3032721889
417	0.3031682883
418	0.3030767857
419	0.3029506479
420	0.3028844278
421	0.3028151889
422	0.3027364046
423	0.3026153041
424	0.3025604742
425	0.3024889025
426	0.3024048249
427	0.302325514
428	0.3022083779
429	0.3021478189
430	0.302088884
431	0.3020076911
432	0.301932716
433	0.3018424564
434	0.3017753174
435	0.3016881984
436	0.3015998271
437	0.3014773461
438	0.3013945037
439	0.3013109976
440	0.3012414294
441	0.3011582745
442	0.3010938505
443	0.3010290761
444	0.3009009724
445	0.3007936938
