iter	Passed	Remaining
0	63	62997
1	68	34288
2	72	24245
3	77	19404
4	83	16650
5	88	14723
6	93	13310
7	99	12345
8	103	11406
9	107	10640
10	111	10018
11	115	9488
12	119	9052
13	122	8656
14	126	8313
15	130	8007
16	134	7766
17	137	7528
18	141	7307
19	145	7124
20	149	6952
21	153	6825
22	157	6708
23	161	6574
24	165	6457
25	169	6346
26	174	6301
27	179	6225
28	182	6124
29	188	6103
30	196	6148
31	204	6187
32	212	6229
33	217	6177
34	221	6119
35	226	6072
36	232	6045
37	236	5993
38	240	5918
39	244	5871
40	248	5822
41	252	5764
42	256	5707
43	260	5661
44	264	5619
45	268	5566
46	272	5531
47	277	5497
48	280	5445
49	284	5401
50	287	5358
51	292	5326
52	295	5285
53	299	5244
54	304	5224
55	307	5187
56	311	5160
57	315	5119
58	319	5090
59	322	5055
60	325	5016
61	329	4979
62	333	4953
63	336	4920
64	340	4904
65	344	4877
66	348	4849
67	351	4822
68	355	4800
69	360	4789
70	363	4759
71	367	4737
72	371	4722
73	375	4704
74	379	4675
75	382	4650
76	385	4626
77	389	4602
78	393	4583
79	395	4553
80	400	4539
81	404	4524
82	408	4509
83	411	4482
84	414	4462
85	419	4455
86	422	4435
87	425	4413
88	430	4402
89	433	4380
90	436	4364
91	441	4355
92	445	4341
93	449	4328
94	452	4309
95	455	4290
96	459	4278
97	463	4269
98	467	4257
99	471	4240
100	474	4226
101	478	4211
102	482	4202
103	485	4183
104	489	4170
105	492	4156
106	497	4150
107	500	4133
108	504	4124
109	509	4120
110	513	4109
111	516	4097
112	520	4087
113	524	4077
114	528	4068
115	532	4055
116	535	4041
117	539	4033
118	543	4022
119	546	4005
120	549	3993
121	553	3980
122	556	3969
123	559	3955
124	563	3944
125	567	3933
126	572	3934
127	575	3919
128	578	3908
129	583	3903
130	585	3887
131	589	3878
132	594	3873
133	597	3860
134	600	3847
135	605	3846
136	608	3835
137	612	3827
138	615	3814
139	618	3801
140	622	3794
141	626	3785
142	631	3781
143	634	3771
144	637	3760
145	641	3753
146	645	3746
147	649	3738
148	654	3735
149	657	3727
150	661	3720
151	664	3709
152	668	3701
153	671	3690
154	675	3682
155	679	3673
156	682	3666
157	686	3657
158	690	3654
159	694	3644
160	697	3637
161	701	3629
162	706	3626
163	710	3622
164	714	3616
165	718	3609
166	722	3602
167	726	3595
168	729	3589
169	733	3581
170	736	3572
171	740	3565
172	744	3559
173	748	3552
174	751	3543
175	755	3537
176	760	3535
177	763	3527
178	766	3516
179	770	3508
180	773	3501
181	777	3495
182	781	3487
183	784	3480
184	788	3473
185	791	3463
186	795	3459
187	799	3451
188	802	3445
189	806	3436
190	809	3428
191	812	3419
192	816	3413
193	820	3406
194	823	3397
195	827	3393
196	830	3385
197	834	3379
198	839	3378
199	843	3374
200	846	3365
201	850	3360
202	854	3355
203	858	3349
204	861	3341
205	864	3334
206	868	3326
207	872	3321
208	876	3316
209	879	3307
210	882	3301
211	886	3295
212	890	3289
213	894	3284
214	898	3279
215	902	3275
216	906	3269
217	909	3261
218	912	3255
219	916	3250
220	920	3245
221	924	3241
222	928	3236
223	931	3227
224	935	3221
225	938	3215
226	943	3211
227	946	3204
228	949	3197
229	953	3192
230	956	3185
231	960	3179
232	963	3171
233	967	3167
234	970	3160
235	973	3152
236	977	3148
237	981	3141
238	984	3134
239	987	3126
240	991	3121
241	994	3115
242	997	3108
243	1002	3104
244	1004	3096
245	1008	3091
246	1012	3087
247	1016	3081
248	1019	3075
