Site_ID,Latitude_Degrees,Longitude_Degrees,Ocean_Name,Realm_Name,Ecoregion_Name,Country_Name,Distance_to_Shore,Exposure,Turbidity,Cyclone_Frequency
1,-14.28,-170.715,Pacific,Eastern Indo-Pacific,"Samoa, Tuvalu and Tonga",United States,105.68,0.0,0.0245,52.544
2,-14.33,-170.5,Pacific,Eastern Indo-Pacific,"Samoa, Tuvalu and Tonga",United States,6923.2,2.0,0.0251,54.151228
3,18.2483888888889,-63.0511388888889,Atlantic,Tropical Atlantic,"Hispaniola, Puerto Rico and Lesser Antilles",Anguilla,135.51,2.0,0.0,86.047967
4,-19.1483333333333,146.870277777778,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,123.51,1.0,0.181850131,43.390537
5,-19.1237777777778,146.8785,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,20.92,1.0,0.0,43.390537
6,-19.1226944444444,146.881361111111,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,216.38,1.0,0.138398916,43.390537
7,-19.1218888888889,146.880833333333,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,126.24,1.0,0.138398916,43.390537
8,-18.9560555555556,146.95625,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,19577.87,2.0,0.0599,43.97101
9,-18.7979166666667,147.520638888889,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,57425.12,0.0,0.0484,48.941122
10,-18.7974444444444,147.519972222222,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,57467.04,0.0,0.0484,48.941122
11,-18.7960277777778,147.521333333333,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,57656.01,0.0,0.0484,48.941122
12,-18.7949166666667,147.521166666667,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,57761.46,0.0,0.0484,48.941122
13,-18.734,146.573805555556,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,366.82,0.0,0.0,48.953018
14,-18.6871666666667,147.096833333333,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,43199.05,0.0,0.0546,43.305195
15,-18.6755555555556,147.109166666667,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,44725.38,1.0,0.0,43.305195
16,-18.6689444444444,146.507027777778,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,528.77,0.0,0.0681,48.953018
17,-18.6566666666667,147.025,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,36722.62,1.0,0.0,43.066698
18,-18.5736111111111,146.494444444444,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,222.14,2.0,0.0,44.500576
19,-18.4416666666667,146.991666666667,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,45946.54,0.0,0.0,42.000522
20,17.1964166666667,-61.8315,Atlantic,Tropical Atlantic,"Hispaniola, Puerto Rico and Lesser Antilles",Antigua and Barbuda,2577.74,2.0,0.0,54.009662
21,17.1684166666667,-61.8183333333333,Atlantic,Tropical Atlantic,"Hispaniola, Puerto Rico and Lesser Antilles",Antigua and Barbuda,40.13,0.0,0.0708,54.009662
22,17.7352777777778,-61.8522222222222,Atlantic,Tropical Atlantic,"Hispaniola, Puerto Rico and Lesser Antilles",Antigua and Barbuda,818.9,2.0,0.0758,61.839162
